Crop,Precipitation,Temperature,Humidity,WindSpeed,SolarRadiation,Area,N,P,K,Yield
3,1243.2362017529024,30.21073190508388,83.33538652242785,22.387696509905517,15.668983962243113,7.361855609890947,67.54486859934151,137.9521716815709,55.030229582042665,44940.98166836392
1,1958.0798030716442,28.502029910907304,72.19894307961222,21.399637870519662,23.796321546998723,6.7205922825880435,93.7153743600579,34.16158686267674,59.12631309476417,29421.538039526044
3,2290.7398875619,31.774734148234728,73.63634823275761,20.262274923429715,22.59228251034186,2.3351307662707526,58.514195590966956,91.01841990807537,44.55280207113236,54895.67836344178
3,1147.9731109582622,32.585018809163905,80.9800447481024,14.308712263762516,16.60425129562167,7.895095762106172,102.37052422186721,68.90385694379341,35.064774430399815,32711.007677835456
1,130.869603300798,25.146282588776756,71.30162384563657,12.3699980380303,23.141447278015825,1.6151285637072204,121.88427123262794,61.9148741418186,28.318616196701555,38683.294951504315
1,438.6419951348613,27.072422997688783,63.66142449325772,19.066230617563527,18.0660013873957,8.437588963701701,81.60639855065226,68.25629021395304,35.5281048872892,19867.478684148286
3,71.40585127233136,32.13235868083337,63.93269983103786,18.751489669552065,18.39400786081,3.357363203634061,105.3867910922653,100.99879769402966,19.898315874736305,29123.239753426064
2,1720.709954170957,28.866201726338343,64.9994328339483,13.637390130688221,23.157523341259434,7.199666760705985,102.4036257793635,52.597329104817845,28.117977685032837,46632.50757293613
3,883.6765429261241,31.62483946941608,84.61171440693523,11.787453720412415,19.771040085317836,9.313204069196832,36.17588067953967,130.5889568590586,47.332387291393886,49229.1884996551
3,1431.7842819561104,28.469626597345584,74.27788706966132,12.129918358715804,16.23986636458668,4.05844322206104,51.808959878983856,82.34036869346339,21.305994498979082,27692.959861965293
3,1303.4660164121492,28.90755152329637,80.53494160296314,24.898793811178273,18.321505434076236,5.526046701463772,128.50124019635803,67.16229798012748,23.73149105503058,39084.2282086653
3,229.62108475272882,26.58678873689685,72.21564272572722,21.97017452640037,21.498877016410926,5.168062305554053,133.4003519154221,114.67738380714069,48.96506929680813,52776.14508665063
1,1068.7056298109533,27.582310196661602,68.7264846328065,23.907824663512415,16.56765769261215,2.418502141565813,116.28748111040716,33.76543984550881,19.247468663015482,33676.178972024645
3,592.2234137974191,31.05411757507587,71.02699635661752,13.730766111309087,20.31208077665723,6.312808094416855,131.49480001939102,78.64010949970798,22.78615449661564,22933.446963787064
